Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type
Dell,$139.99 ,4.5 out of 5 stars,16,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, ...  Read moreabout the seller notes“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, light scratches, scuffs, etc.” Read Lessabout the seller notes ",Intel Celeron,11.6 in,,Black,4 GB,128 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2019,1366 x 768,Dell Latitude 3189,Windows 10,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",128 GB,,SSD (Solid State Drive)
ASUS,$130.00 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 8th Gen.,14 in,,,8 GB,1 TB,,,Notebook/Laptop,,,ASUS VivoBook Flip,Windows 10,Touchscreen,1 TB,,
Dell,$131.31 ,,,"Very Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is ...  Read moreabout the conditionVery Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core M5,10.8 in,,,8 GB,256 GB,,1.10 GHz,Convertible 2-In-1 Laptop/Tablet,,,Dell Latitude 5175,Windows 10,,,,SSD (Solid State Drive)
Gateway,$139.99 ,,,,,Intel Pentium,15.6 in,,Black,4 GB,128 GB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,,1366 x 768,Samsung ChromeBook,Chrome OS,"Touchscreen, Built-in Webcam, Bluetooth, Built-in Microphone",128 GB,,eMMC
Dell,$306.99 to $535.00,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. Minimal imperfections may be present on the unit, such as light scuffs or light scratches. Genuine AC adapter & battery included with your order. Your order is backed by our 30 day money-back guarantee, and extended 1-year Allstate warranty.” Read Lessabout the seller notes ",Intel Core i5 7th Gen.,15.6 in,,Black,,,Intel HD Graphics 620,3.10 GHz (2.50 GHz Base Frequency),Notebook/Laptop,Refurbished in 2023,1920 x 1080,Dell Latitude 5580,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi, SIM Card Slot",2 TB,,SSD (Solid State Drive)
Toshiba,$109.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Lightly used laptop. The laptop has been factory reset and is ready to go out of the box. The ...  Read moreabout the seller notes“Lightly used laptop. The laptop has been factory reset and is ready to go out of the box. The battery is used original but is guaranteed to hold a good charge. Comes with power adapter.” Read Lessabout the seller notes ,Intel Core i5 4th Gen.,14 in,,,8 GB,256 GB,,,Notebook/Laptop,,,Toshiba Tecra,Windows 7 Professional,,,,SSD (Solid State Drive)
HP,$115.61 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Fully tested in excellent working order. System upgraded/ dispatched.”,Intel® Core™ i5 i5-3210M,15.6 in,,,8GB,256 GB,AMD Radeon HD 7650M,2.50 GHz,Notebook/Laptop,,1366 x 768,HP ProBook 4540s,Windows 10,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",,,SSD (Solid State Drive)
HP,$299.00 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). ...  Read moreabout the seller notes““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). See pictures for details. Include AC adapter. As the battery is used, battery life is NOT guaranteed.”” Read Lessabout the seller notes ",Intel Core i7 6th Gen.,15.6 in,,Black,16 GB,1 TB,Intel HD Graphics,2.70 GHz,Notebook/Laptop,,,ProBook 650 G2,Windows 10 Pro,"Bluetooth, Built-in Webcam, Optical Drive, Wi-Fi",,,SSD (Solid State Drive)
Dell,$97.66 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Professional tested in great working order. System upgraded/dispatched.”,Intel® Core™ i5 i5-2520M,14 in,,,4 GB,,,2.50 GHz,Notebook/Laptop,,1366 x 768,Dell Latitude E5420,Windows 7,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Optical Drive,  Wi-Fi",500 GB,,HDD (Hard Disk Drive)
Dell,$825.00 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core i7 13th Gen.,14 in,,Silver,16 GB,512 GB,Intel Iris Xe Graphics,3.90 GHz,Notebook/Laptop,,1920 x 1080,Dell Latitude 5440,Windows 11 Pro,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Multi-Touch Trackpad,  Backlit Keyboard,  Built-in Microphone",512 GB,,SSD (Solid State Drive)
Dell,$449.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“This computer has been thoroughly refurbished by our small group of excellent technicians. It may ...  Read moreabout the seller notes“This computer has been thoroughly refurbished by our small group of excellent technicians. It may have a few minor scratches or other small imperfections. We know how important it is to our customers that they feel comfortable purchasing a refurbished computer so we go the extra mile in our process. Each computer is put through a rigorous testing procedure even if it appears to be in perfect condition. You have our guarantee that it will arrive clean and in perfect working order.” Read Lessabout the seller notes ,Intel Core i7 6th Gen.,17.3 in,,Black,32 GB,1 TB,,3.80 GHz,Notebook/Laptop,,1920 x 1080,Dell Precision 7710,Windows 11 Pro,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Widescreen Display,  Wi-Fi",1 TB,,SSD (Solid State Drive)
dell,$95.00 ,4 out of 5 stars,9,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“good cosmetic condition with only some minor wear from normal use - may have some minor scuffing or ...  Read moreabout the seller notes“good cosmetic condition with only some minor wear from normal use - may have some minor scuffing or scratching on lid or some small amounts of wear on the speaker grills - good shape overall!” Read Lessabout the seller notes ,Unspecified,"14""",,,,,,,,,,Dell Latitude E6410,Windows 7,,250 GB,,
Lenovo,$549.99 ,,,,,Intel Core i5 11th Gen.,13.5 in,,Silver,16 GB,256 GB,Intel Iris Xe Graphics,1.80 GHz,Notebook/Laptop,,2256 x 1504,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",256 GB,,SSD (Solid State Drive)
Lenovo,$99.95 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Tested by our certified technicians and fully functional. (60-Day Store Warranty)”,Intel Core i5 8th Gen.,14 in,,,8 GB,,,1.70 GHz,Notebook/Laptop,,,Lenovo ThinkPad L480,Not Included,,,,
Microsoft,$259.84 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Extremely Clean. No Scratches. See Photos & Description”,Intel Core i5 10th Gen.,13.5 in,,Silver,8 GB,256 GB,Intel HD Graphics,1.50 GHz,Notebook/Laptop,2019,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",256 GB,Unknown,SSD (Solid State Drive)
HP,$197.95 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“The item shows minimal wear and is backed by a one-year warranty. Our products are refurbished, ...  Read moreabout the seller notes“The item shows minimal wear and is backed by a one-year warranty. Our products are refurbished, cleaned, and tested to the condition specified by qualified sellers. The item will include an OEM power supply. A 30-Day free return is offered for this product. The item must be returned within 30 days and in the original condition that it was received in. Refunds for altered, damaged, or used items may be subject to deduction.” Read Lessabout the seller notes ",Intel Core i5 8th Gen.,14 in,,Silver,8 GB,128 GB,Intel UHD Graphics 620,1.70 GHz,Notebook/Laptop,,1920 x 1080,HP ZBook 14u G5,Windows 10 Pro,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",,,SSD (Solid State Drive)
Dell,$49.95 ,,,"For parts or not workingAn item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab",“Machine does not power on and shorts out any power adapter that is connected.  System is previously ...  Read moreabout the seller notes“Machine does not power on and shorts out any power adapter that is connected.  System is previously used and shows scratches and signs of wear.  You will receive the item as pictured.” Read Lessabout the seller notes ,Intel Core i5 4th Gen.,14 in,,,Unknown,,,,Notebook/Laptop,,1366 x 768,Latitude 14 Rugged Extreme 7404,Not Included,"Backlit Keyboard,  Rugged",,,Not Included
Dell,$134.96 ,,,"Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Professionally Refurbished by a Registered Refurbisher at an R2 Certified Facility. F3, C4, ...  Read moreabout the seller notes“Professionally Refurbished by a Registered Refurbisher at an R2 Certified Facility. F3, C4, Non-data Sanitized with software. THIS DEVICE WILL HAVE COSMETIC DAMAGE SUCH AS DENTS, DINGS, SCRATCHES, SCUFFS, OR MINOR CRACK; PERFORMANCE WILL NOT BE AFFECTED. We guarantee this unit to be 100% Fully Functional. Comes with a OEM power cable, 1-Year Warranty and 30-Day Free Return.” Read Lessabout the seller notes ",Intel Core i5-7300U 7th Gen.,14 in,Black,Black,8 GB,,Intel UHD Graphics 620,2.90 GHz,Notebook/Laptop,2018,1366 x 768,Dell Latitude 5490,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad",,,M.2
Lenovo,$299.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, ...  Read moreabout the seller notes“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). Include an Original AC adapter. Model” Read Lessabout the seller notes ",AMD Ryzen 7 Pro 3700U,14 in,,Black,16 GB,512 GB,Radeon Vega Mobile Gfx,2.30 GHz,Notebook/Laptop,,1920 x 1080,ThinkPad,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",16 GB,,SSD (Solid State Drive)
Dell,$363.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Tested for 100% Functionality. This is a laptop is in Good condition, with minimal signs of wear. ...  Read moreabout the seller notes“Tested for 100% Functionality. This is a laptop is in Good condition, with minimal signs of wear. All our computers are inspected, configured, tested, cleaned and packaged” Read Lessabout the seller notes ",Intel Core i7 8th Gen.,14 in,,Black,16 GB,512 GB,Intel UHD Graphics 620,1.9 GHz - 4.20 GHz,Notebook/Laptop,,,Dell Latitude 7490,Windows 11 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Optane Memory, Touchscreen, Wi-Fi",,,SSD (Solid State Drive)
Dell,$200.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“These laptops are in working condition with some moderate wear to the units such as: small pressure ...  Read moreabout the seller notes“These laptops are in working condition with some moderate wear to the units such as: small pressure spots on the display, light scratches or scuffs on the outside of the units, shine on the keyboard, palm rest and mousepad, mouse buttons may be loose. No battery included, no AC adapter. No hard drive, no OS. If you have any questions, please send us a message.” Read Lessabout the seller notes ",i5-8350U,14 in,,Black,8 GB,,Intel HD Graphics,1.7 GHz,Notebook/Laptop,,1920 x 1080,Dell Latitude 5400,Not Included,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",,,SSD (Solid State Drive)
Dell,$140.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Comprenew Grade A: Full Functionality | All Functions Perform as Intended”,Intel Core i7-6600U @ 2.6GHz,14 in,,,,,,,Laptop,,,E7470,Windows 10 Pro,,,,
Dell,$297.00 ,,,"Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). ...  Read moreabout the seller notes““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). See pictures for details. Include AC adapter. As the battery is used, battery life is NOT guaranteed.”” Read Lessabout the seller notes ",Intel Core i5 6th Gen.,14 in,,Black,8 GB,512 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,,,Dell Latitude Rugged 5414,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Rugged, Wi-Fi",512 GB,,SSD (Solid State Drive)
Lenovo,$282.00 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). ...  Read moreabout the seller notes““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). See pictures for details. Include AC adapter. As the battery is used, battery life is NOT guaranteed.”” Read Lessabout the seller notes ",Intel Core i7 3rd Gen.,15.6 in,,Black,16 GB,512 GB,NVIDIA Quadro K1000M,2.60 GHz,Notebook/Laptop,,,Lenovo ThinkPad W530,Windows 10 Pro,"Built-in Microphone,  Built-in Webcam,  Optical Drive,  Wi-Fi",512 GB,,SSD (Solid State Drive)
Lenovo,$225.00 ,,,"Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","““Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). ...  Read moreabout the seller notes““Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). See pictures for details. Include an AC adapter. As the battery is used, battery life is NOT guaranteed.”” Read Lessabout the seller notes ",Intel Core i5 8th Gen.,14 in,,Black,8 GB,512 GB,Intel UHD Graphics,1.6 GHz,Notebook/Laptop,,1920 x 1080,Lenovo ThinkPad T490s,Windows 11 Pro,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",,,SSD (Solid State Drive)
HP,$329.27 ,,,,,Intel Core i5 8th Gen.,13.3 in,,,8 GB,256 GB,,1.60 GHz,,,,,Windows 10 Pro,,256 GB,,SSD (Solid State Drive)
HP,$800.00 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core I5-13420H,15.6 in,,,,,,,Notebook/Laptop,,,,,,,,
Dell,$245.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Dell Latitude 7490 Laptop in excellent working and cosmetic used condition as seen from the ...  Read moreabout the seller notes“Dell Latitude 7490 Laptop in excellent working and cosmetic used condition as seen from the pictures. Item has minor scuffs, marks and scratches on the surface from previous use. No dead pixels or scratches on the monitor (LCD) display. Comes preloaded with a genuine copy of Microsoft Win 10 Pro 64-bit Operating System and ready to go! With 1TB SSD of storage and 32GB RAM, you definitely have sufficient work power! The Battery is in excellent condition and hold charge at around 99% and comes with the original dell 65 Watts power charger. Best bargain on eBay not to miss!” Read Lessabout the seller notes ",Intel Core i5 vPro 8th Gen,14 in,,Black,32 GB,1 TB,Intel UHD Graphics 620,1.70 GHz,Notebook/Laptop,2019,1366 x 768,Dell Latitude 7490,Windows 10 Pro,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Multi-Touch Trackpad,  Touch ID,  Widescreen Display,  Wi-Fi",1 TB,United States,SSD (Solid State Drive)
Lenovo,$584.95 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Professionally Refurbished by a Microsoft Registered Refurbisher at an R2 Certified Facility. Our ...  Read moreabout the seller notes“Professionally Refurbished by a Microsoft Registered Refurbisher at an R2 Certified Facility. Our computers may have very minor signs of wear such as scratches, scuffs, and minor dings - none of which affect the functionality of the product. Comes with an OEM power supply. Includes 1-Year Warranty provided through eBay and a 30-Day Satisfaction Guarantee.” Read Lessabout the seller notes ",Intel Core i7 7th Gen.,15.6 in,,Black,32 GB,512 GB,NVIDIA Quadro M2200,3.00 GHz,Notebook/Laptop,,3840 x 2160,Lenovo Thinkpad P51,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Wi-Fi",,,SSD (Solid State Drive)
Dell,$169.99 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Our laptops go through an INTENSIVE 41-point inspection. Refurbished by certified professionals, ...  Read moreabout the seller notes“Our laptops go through an INTENSIVE 41-point inspection. Refurbished by certified professionals, this laptop comes with a 90-day warranty. Our laptops are in very good refurbished condition, which means they may have scratches, scuffs, and/or small dings which DO NOT affect the functionality of the laptop. These pictures are representative of the condition of the unit you will receive. The ports that are pictured may not be on your unit. Please contact us to confirm if there is a specific port you are looking for. If you have any questions regarding our cosmetic grading, please feel free to ask us. F5, C6 - Non-Data; Very Good - Refurbished” Read Lessabout the seller notes ",Intel Core i5 6th Gen.,14 in,,,8 GB,240GB,,,Notebook/Laptop,2017,,Dell Latitude 5480,Windows 10 Pro,Wi-Fi,,,SSD (Solid State Drive)
HP,$494.23 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Products are tested, and confirmed to be 100% fully functional. These devices may show cosmetic ...  Read moreabout the seller notes“Products are tested, and confirmed to be 100% fully functional. These devices may show cosmetic signs of previous use such as marks on the screen, dints, slightly worn keys or touchpad and heavy scratches. The device may have BIOS Lock, register between 50-79% original battery Capacity or have a faulty port. This does not affect the usability and performance of the device. Includes 12-month warranty.” Read Lessabout the seller notes ",Intel Core i5 11th Gen.,14 in,,,16 GB,256 GB,,2.40 GHz,Notebook/Laptop,,,HP EliteBook 840 G8,Windows 11,,,,SSD (Solid State Drive)
Dell,$399.99 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i7 9th Gen.,15.6 in,,Black,32 GB,,,2.60 GHz,Notebook/Laptop,,1920 x 1080,Dell Precision 7540,,"Built-in Webcam, Built-in Microphone",,,
HP,$438.99 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core i5-1135G7,14 in,,Silver,8 GB,256 GB,Integrated,2.40 GHz,,,1920 x 1080,HP Pavilion x360 14-dw1013dx,Windows 11,,,,SSD (Solid State Drive)
Dell,$479.00 ,,,,,Intel Core i5 12th Gen.,15.6 in,,Black,16 GB,512 GB,Intel Iris Xe Graphics,2.00 GHz,Notebook/Laptop,,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",512 GB,,SSD (Solid State Drive)
Dell,$33.95 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Used in fair working condition. May have scratches, scuffs, dings, hotspots, and general signs of ...  Read moreabout the seller notes“Used in fair working condition. May have scratches, scuffs, dings, hotspots, and general signs of use. Pictures are representative of the item, but may not be exact unit received.” Read Lessabout the seller notes ",Intel Celeron N,11.6 in,,Black,4 GB,16 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,2017,1366 x 768,Dell Chromebook 11 3180,Chrome OS,"Bluetooth, Built-in Microphone, Built-in Webcam",,,eMMC
Panasonic,$250.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Pre-Owned in good working condition. A/C Power adapter included. May show signs of minor surface ...  Read moreabout the seller notes“Pre-Owned in good working condition. A/C Power adapter included. May show signs of minor surface cosmetic blemishes from regular usage,  but does not affect the overall function of the unit.” Read Lessabout the seller notes ",Intel Core m5 6th Gen.,12.5 in,,Black,8 GB,128 GB,,1.10 GHz,,2019,Full HD 1920 x 1080,Panasonic Toughpad FZ-Q2,Windows 10 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Force Touch Trackpad, Rugged",128 GB,,SSD (Solid State Drive)
Dell,$388.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Good used condition - wear from normal use. AC Adapter (Power Cord) included.”,Intel Core i7 8th Gen.,15.6 in,,Silver,32 GB,512 GB,NVIDIA Quadro P1000,2.60 GHz,Notebook/Laptop,,1920 x 1080,Dell Precision 5530,Not Included,"Backlit Keyboard, Built-in Webcam, Wi-Fi",512 GB,,SSD (Solid State Drive)
Dell,$410.00 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Atom Single-Core,14 in,,,,,,,,,,,,,,,
Fujitsu,$499.00 ,5 out of 5 stars,5,,,Quad Core,13.3 in,,White,4 GB,,,1.80 GHz,eBook Reader,,2200 x 1650,Fujitsu QUADERNO A4 (2nd Gen.),,,,,
CHUWI,$299.99 to $309.99,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core i5 8th Gen.,14 in,,Gray,8 GB,"1 Used,  1 support Max 1TB M.2 Extend",Intel Iris Plus Graphics 655,Max up to 3.80 GHz,Notebook/Laptop,2020,2160 x 1440,CoreBook X,Windows 10,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",512 GB SSD,China,SSD (Solid State Drive)
